Time[s],sensor1[mm],sensor2[mm]
12.727484703063965,47,114
12.75865125656128,39,116
12.79011607170105,32,116
12.821415662765503,26,117
12.852770566940308,21,119
12.88437819480896,17,118
12.917211532592773,16,118
12.948400259017944,16,120
12.979619979858398,15,119
13.010533809661865,16,117
13.041988611221313,18,119
13.073174238204956,23,123
13.104216814041138,28,122
13.135502576828003,34,121
13.166934251785278,43,120
13.197941064834595,49,122
13.229356527328491,56,123
13.260435342788696,62,124
13.291243076324463,67,126
13.322699785232544,72,126
13.353678226470947,73,128
13.384830236434937,74,126
13.416221618652344,77,126
13.44754147529602,74,128
13.478640079498291,74,128
13.50977373123169,73,129
13.541021585464478,71,130
13.57239818572998,65,132
13.60361385345459,61,129
13.635099649429321,57,129
13.66629433631897,51,127
13.697350978851318,48,126
13.728726863861084,43,126
13.76001524925232,41,123
13.791213989257812,39,123
13.822635650634766,34,120
13.853864431381226,33,122
13.884788274765015,31,117
13.916067838668823,31,116
13.947559356689453,32,118
13.978742122650146,34,115
14.010018825531006,34,114
14.041580438613892,37,115
14.073025226593018,38,114
14.104119062423706,39,115
14.135396480560303,40,113
14.166723251342773,42,119
14.197869062423706,43,117
14.228987693786621,44,118
14.26028037071228,45,120
14.291314125061035,47,123
14.32268500328064,45,126
14.353938341140747,48,125
14.384920358657837,46,127
14.41634488105774,51,130
14.447545528411865,50,126
14.478700160980225,52,131
14.510381698608398,52,131
14.541464567184448,55,131
14.572814226150513,55,132
14.604321956634521,55,131
14.635802507400513,59,130
14.66719937324524,56,129
14.6983962059021,60,127
14.729550838470459,60,126
14.760589599609375,59,123
14.791954040527344,55,120
14.823038578033447,58,120
14.854448556900024,58,119
14.885677337646484,55,120
14.916960000991821,52,117
14.948285579681396,53,118
14.98099422454834,48,119
15.011955976486206,44,116
15.043129682540894,43,117
15.074373245239258,40,119
15.105711936950684,37,120
15.137019634246826,35,117
15.16821837425232,35,119
15.199501991271973,32,118
15.230518817901611,34,122
15.261720657348633,34,122
15.292914152145386,34,122
15.324349880218506,32,123
15.355865478515625,34,124
15.387171983718872,37,126
15.418438911437988,39,124
15.449610471725464,43,126
15.480926275253296,47,125
15.511884927749634,50,124
15.543047666549683,54,125
15.574434280395508,57,127
15.605980157852173,60,125
15.637293815612793,59,128
15.668683528900146,62,125
15.700226068496704,64,125
15.73122787475586,64,124
15.76233959197998,62,122
15.793792247772217,62,125
15.824938774108887,61,124
15.856010437011719,59,125
15.887311220169067,58,123
15.918526887893677,53,125
15.949808597564697,53,122
15.981035232543945,49,120
16.012064933776855,46,121
16.045005559921265,42,124
16.076294422149658,39,123
16.107246160507202,40,121
16.13863968849182,38,120
16.170071363449097,38,122
16.201344966888428,36,119
16.232712745666504,37,119
16.263625383377075,36,118
16.295173168182373,38,118
16.32641077041626,37,119
16.357725381851196,41,121
16.388917207717896,41,121
16.419890880584717,45,118
16.45119047164917,45,120
16.48256540298462,48,122
16.518219709396362,48,121
16.551193237304688,48,124
16.58802890777588,51,123
16.61923861503601,55,124
16.65511393547058,52,127
16.686463594436646,55,124
16.718849182128906,54,127
16.75030016899109,52,128
16.78177762031555,53,126
16.81255030632019,56,125
16.843805074691772,53,125
16.879079580307007,57,124
16.91044521331787,54,123
16.9462628364563,54,125
16.97793459892273,53,125
17.01135015487671,54,122
17.042561769485474,53,121
17.075498342514038,53,122
17.107048273086548,53,121
17.1383318901062,53,122
17.169479370117188,50,121
17.200680255889893,52,122
17.231937646865845,50,121
17.26284956932068,48,119
17.293695211410522,47,120
17.325186014175415,48,124
17.356326580047607,45,121
17.38770842552185,42,121
